episode,timestamp,circuit,mode,success,wall_crash,timeout,checkpoints_passed,lap_time_s,episode_reward
1,2026-07-09 18:45:30,PPO_test_silverstone,train,0,0,1,11,,43.5956
2,2026-07-09 18:46:32,PPO_test_silverstone,train,1,0,0,16,58.720,73.5962
3,2026-07-09 18:47:33,PPO_test_silverstone,train,1,0,0,16,56.880,74.1229

1,2026-07-09 23:04:04,default,train,0,1,0,0,,0.0745
1,2026-07-09 23:04:05,default,train,0,1,0,0,,0.0669
1,2026-07-09 23:04:05,default,train,0,1,0,0,,0.1159
1,2026-07-09 23:04:05,default,train,0,1,0,1,,3.1084
1,2026-07-09 23:04:06,default,train,0,1,0,1,,3.3566
2,2026-07-09 23:04:06,default,train,0,1,0,0,,0.0000
1,2026-07-09 23:04:06,default,train,0,1,0,0,,0.0093
1,2026-07-09 23:04:06,default,train,0,1,0,0,,0.0744
1,2026-07-09 23:04:06,default,train,0,1,0,1,,3.3923
2,2026-07-09 23:04:07,default,train,0,1,0,0,,0.1756
2,2026-07-09 23:04:07,default,train,0,1,0,0,,0.0669
2,2026-07-09 23:04:07,default,train,0,1,0,0,,0.3370
1,2026-07-09 23:04:07,default,train,0,1,0,1,,3.2113
1,2026-07-09 23:04:07,default,train,0,1,0,1,,3.1551
2,2026-07-09 23:04:08,default,train,0,1,0,0,,0.0581
2,2026-07-09 23:04:08,default,train,0,1,0,0,,-0.0868
3,2026-07-09 23:04:09,default,train,0,1,0,0,,0.2169
4,2026-07-09 23:04:09,default,train,0,1,0,0,,0.0000
3,2026-07-09 23:04:10,default,train,0,1,0,0,,0.1498
3,2026-07-09 23:04:10,default,train,0,1,0,0,,0.1135
2,2026-07-09 23:04:10,default,train,0,1,0,0,,0.1608
2,2026-07-09 23:04:10,default,train,0,1,0,1,,3.5890
2,2026-07-09 23:04:10,default,train,0,1,0,1,,3.5900
2,2026-07-09 23:04:11,default,train,0,1,0,1,,3.4531
3,2026-07-09 23:04:11,default,train,0,1,0,0,,0.7162
4,2026-07-09 23:04:12,default,train,0,1,0,0,,0.1546
3,2026-07-09 23:04:12,default,train,0,1,0,2,,7.1745
3,2026-07-09 23:04:12,default,train,0,1,0,0,,0.1792
3,2026-07-09 23:04:12,default,train,0,1,0,1,,3.8525
5,2026-07-09 23:04:13,default,train,0,1,0,1,,3.2947
3,2026-07-09 23:04:13,default,train,0,1,0,0,,0.0713
4,2026-07-09 23:04:13,default,train,0,1,0,0,,0.0387
3,2026-07-09 23:04:14,default,train,0,1,0,1,,3.3036
4,2026-07-09 23:04:15,default,train,0,1,0,0,,0.9573
3,2026-07-09 23:04:15,default,train,0,1,0,1,,3.9198
5,2026-07-09 23:04:16,default,train,0,1,0,0,,0.1767
4,2026-07-09 23:04:16,default,train,0,1,0,0,,0.1185
5,2026-07-09 23:04:16,default,train,0,1,0,0,,0.0472
4,2026-07-09 23:04:17,default,train,0,1,0,0,,0.1712
4,2026-07-09 23:04:17,default,train,0,1,0,0,,0.0563
4,2026-07-09 23:04:18,default,train,0,1,0,0,,0.2784
5,2026-07-09 23:04:18,default,train,0,1,0,0,,0.0569
5,2026-07-09 23:04:19,default,train,0,1,0,0,,0.4772
5,2026-07-09 23:04:19,default,train,0,1,0,0,,0.1327
4,2026-07-09 23:04:19,default,train,0,1,0,0,,0.2968
6,2026-07-09 23:04:19,default,train,0,1,0,0,,-0.0245
